"site","region","apn","product","part_description","sto_class","min_level","supplier_lead_time","expected_daily_rate","actual_daily_rate","consumed_180d","actual_vs_expected_ratio"
"OXR1","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","1.0","94.0","0.0106","0.0056","1.0","0.5264"
"RIC4","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","1.0","94.0","0.0106","0.0056","1.0","0.5264"
"LUK2","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","2.0","17.0","0.1176","0.0611","11.0","0.5194"
"TYS1","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","02 MED","3.0","28.0","0.1071","0.0556","10.0","0.5189"
"TYS1","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","3.0","35.0","0.0857","0.0444","8.0","0.518"
"CLE3","NA","C-2837","EcoPac","RUOTA D74X10 D33 MOTRICE","02 MED","1.0","31.0","0.0323","0.0167","3.0","0.5177"
"SHV1","NA","C-2843","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","2.0","31.0","0.0645","0.0333","6.0","0.5162"
"SHV1","NA","C-2844","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","2.0","31.0","0.0645","0.0333","6.0","0.5162"
"DET6","NA","1063086","USP","SWITCH 2VDC PNP 0.5M LEAD M8 C","02 MED","1.0","23.0","0.0435","0.0222","4.0","0.5106"
"DET6","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","1.0","23.0","0.0435","0.0222","4.0","0.5106"
"FSD1","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","2.0","45.0","0.0444","0.0223","4.01","0.5018"
