"site","region","apn","product","part_description","sto_class","consumed_30d","consumed_60d","consumed_90d","consumed_150d","consumed_all","rate_30d","rate_60d","rate_90d","rate_150d","days_with_consumption_150d"
"AUS2","NA","1113249","USP","URGU48R1-04090N","02 MED","0.0","1.0","1.0","1.0","2.0","0.0","0.0167","0.0111","0.0067","1"
"AUS2","NA","11147","USP","VHI425A-GV W/ GV4G6","01 HIGH","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
"AUS2","NA","11519","USP","Zebra Kit Maint Door Open Swch RH/LH","02 MED","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
"AUS2","NA","3022931","USP","MALE INSERT 5 PIN","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AUS2","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AUS2","NA","3022951","USP","RTD, PT100, DIA 3MM, L 18MM, 3","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AUS2","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"AUS2","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","0.0","2.0","4.0","4.0","4.0","0.0","0.0333","0.0444","0.0267","3"
"AUS2","NA","3022983","USP","RIGHT ISOLATOR PLATE","01 HIGH","0.0","1.0","1.0","1.0","1.0","0.0","0.0167","0.0111","0.0067","1"
"AUS2","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"AUS2","NA","3466147","USP","COMPACT CYLINDER ADN-32-25-I-P-A-S2","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AUS2","NA","49344","USP","Zebra ZE52163-R010000Z Print Engine","02 MED","1.0","2.0","2.0","2.0","5.01","0.0333","0.0333","0.0222","0.0133","2"
"AUS2","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","2.0","3.99","4.99","11.989999999999998","29.000000000000004","0.0667","0.0665","0.0554","0.0799","15"
"AUS2","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","01 HIGH","0.0","1.0","1.0","5.0","9.0","0.0","0.0167","0.0111","0.0333","14"
"AUS2","NA","49960","USP","MDC100-050101 DRIVE","01 HIGH","0.0","1.0","1.0","1.0","1.0","0.0","0.0167","0.0111","0.0067","1"
"AUS2","NA","72902","USP","kit,motor assy, high speed...","02 MED","1.0","1.0","1.0","1.0","2.0","0.0333","0.0167","0.0111","0.0067","1"
"BDL4","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0133","1"
"BDL4","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","01 HIGH","0.0","0.0","0.0","0.0","4.0200000000000005","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0133","2"
"BDL4","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","0.0","0.0","0.0","1.0","23.0","0.0","0.0","0.0","0.0067","1"
"BDL4","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0067","1"
"BDL4","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","03 LOW","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10095","USP","FLANGED BUSHING","03 LOW","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10096","USP","WASHER: THRUST, BRONZE","02 MED","0.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10105","USP","SPRING: REWIND CLUTCH, MED DUTY, .97OD X .080 WIRE DIA","02 MED","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","01 HIGH","0.0","3.0","3.0","3.0","10.0","0.0","0.05","0.0333","0.02","3"
"BDL4","NA","1061526","USP","SERVO DRVE AMP JR_AUTO JR0000549642","02 MED","0.0","0.0","0.0","0.0","23.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","01 HIGH","0.99","0.99","0.99","0.99","12.99","0.033","0.0165","0.011","0.0066","3"
"BDL4","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","2.0","2.0","2.0","5.0","12.0","0.0667","0.0333","0.0222","0.0333","4"
"BDL4","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0133","1"
"BDL4","NA","11082","USP","SMART PACK FILTER REPLACEMENT  (PID)","02 MED","0.0","0.0","0.0","2.0","6.0","0.0","0.0","0.0","0.0133","1"
"BDL4","NA","11147","USP","VHI425A-GV W/ GV4G6","01 HIGH","0.0","0.0","0.0","3.0","6.0","0.0","0.0","0.0","0.02","1"
"BDL4","NA","1116318","USP","ULTRASONIC SENSOR, PICO+","02 MED","0.0","0.0","1.0","4.0","4.0","0.0","0.0","0.0111","0.0267","3"
"BDL4","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","11409","USP","TAMPA","02 MED","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","11519","USP","Zebra Kit Maint Door Open Swch RH/LH","02 MED","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0067","1"
"BDL4","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","0.0","0.0","0.0","5.0","5.0","0.0","0.0","0.0","0.0333","1"
"BDL4","NA","23103","USP","Time Delay, Cylindrical, Fuse, GDC Series, 250VAC, Indicating (5 PK)","02 MED","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0133","1"
"BDL4","NA","3022983","USP","RIGHT ISOLATOR PLATE","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"BDL4","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","02 MED","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0133","1"
"BDL4","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"BDL4","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"BDL4","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","01 HIGH","0.0","1.0","1.0","1.0","1.0","0.0","0.0167","0.0111","0.0067","2"
"BDL4","NA","33053","USP","SENSOR CABLE, 5M GREY, M12 FEMALE 8P STRAIGHT TO OPEN ENDED, CONTINUOUS FLEX, PUR-OB","02 MED","0.0","0.0","0.0","3.0","3.0","0.0","0.0","0.0","0.02","1"
"BDL4","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"BDL4","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","2.0","2.0","3.0","13.01","0.0333","0.0333","0.0222","0.02","5"
"BDL4","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","01 HIGH","0.0","0.0","1.0","1.0","5.000000000000001","0.0","0.0","0.0111","0.0067","3"
"BDL4","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","0.0","2.0","2.0","2.0","10.0","0.0","0.0333","0.0222","0.0133","4"
"BDL4","NA","76580","USP","PROGRAMMED MAPLE DISPLAY UNIT FOR 3600A APPLICATOR","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","01 HIGH","0.0","0.0","0.0","2.0","28.0","0.0","0.0","0.0","0.0133","1"
"BDL4","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1.0","2.0","2.0","7.0","12.0","0.0333","0.0333","0.0222","0.0467","4"
"BDL4","NA","N37377","USP","SC300-2 SHOCK ABSORBER","02 MED","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0"
"BDL4","NA","N53977","USP","I110-E0454 SAFETY SWITCH","01 HIGH","0.0","0.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0267","1"
"BDL4","NA","N54020","USP","STOPPER BOLT, M6X1.0, L 20MM, WITH HEX SOCKET TIP, STRAIGHT TYPE, BUMPER URETHAN","02 MED","0.0","0.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0","0"
"BOS3","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","02 MED","0.0","0.0","11.0","11.0","12.0","0.0","0.0","0.1222","0.0733","3"
"BOS3","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","02 MED","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0067","1"
"BOS3","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","1.0","1.0","1.0","2.0","2.0","0.0333","0.0167","0.0111","0.0133","2"
"BOS3","NA","1060925","USP","RING-GRIP QUICK-RELEASE PIN","03 LOW","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0"
"BOS3","NA","1061198","USP","OLFLEXÂ® VFD SLIM, 14 AWG/4C, REDUCED DIAMETER VFD CABLE WITH ""SURGE GUARD""","02 MED","0.0","0.0","2.0","2.0","2.0","0.0","0.0","0.0222","0.0133","1"
"BOS3","NA","1063086","USP","SWITCH 2VDC PNP 0.5M LEAD M8 C","02 MED","0.0","0.0","2.0","2.0","3.0","0.0","0.0","0.0222","0.0133","1"
"BOS3","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","02 MED","0.0","2.0","2.0","6.0","12.01","0.0","0.0333","0.0222","0.04","4"
"BOS3","NA","1069554","USP","POWER IO CABLE M12 FOR COGNEX CONN MODULE W DB9","02 MED","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"BOS3","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","0.0","0.0","4.0","4.0","4.0","0.0","0.0","0.0444","0.0267","1"
"BOS3","NA","1113249","USP","URGU48R1-04090N","02 MED","10.0","17.0","20.0","20.0","50.0","0.3333","0.2833","0.2222","0.1333","7"
"BOS3","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","02 MED","6.0","6.0","8.0","11.0","12.0","0.2","0.1","0.0889","0.0733","8"
"BOS3","NA","11519","USP","Zebra Kit Maint Door Open Swch RH/LH","02 MED","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0067","1"
"BOS3","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","02 MED","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"BOS3","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","02 MED","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"BOS3","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","02 MED","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"BOS3","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","0.0","0.0","1.0","2.0","2.0","0.0","0.0","0.0111","0.0133","2"
"BOS3","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","0.0","0.0","2.0","2.0","2.0","0.0","0.0","0.0222","0.0133","2"
"BOS3","NA","3466144","USP","SERVO DRIVE","01 HIGH","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0111","0.0067","1"
"BOS3","NA","3466191","USP","ROD COUPLER, M10X1.25, STEEL (","01 HIGH","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"BOS3","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","2.0","5.0","5.0","11.0","14.0","0.0667","0.0833","0.0556","0.0733","6"
"BOS3","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"BOS3","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","02 MED","2.0","9.0","10.999999999999998","35.0","77.0","0.0667","0.15","0.1222","0.2333","17"
"BOS3","NA","49960","USP","MDC100-050101 DRIVE","02 MED","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
"BOS3","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
