"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"ORD5","NA","3022932","USP","SENSOR FLAG PIN, USP TRIGGER GATE","01 HIGH","1682933","1.0","2026-02-04","177"
"SHV1","NA","49344","USP","Zebra ZE52163-R010000Z Print Engine","02 MED","1684636","1.0","2026-02-05","176"
"BDL4","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","01 HIGH","1688370","1.0","2026-02-09","172"
"BDL4","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","01 HIGH","1697951","1.0","2026-02-17","164"
"TYS1","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1700281","2.0","2026-02-18","163"
"TYS1","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","02 MED","1700281","2.0","2026-02-18","163"
"TYS1","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1700281","2.0","2026-02-18","163"
"SBD6","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","1701896","3.0","2026-02-19","162"
"SAN3","NA","1113249","USP","URGU48R1-04090N","02 MED","1704279","1.0","2026-02-21","160"
"DET6","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","1705620","2.0","2026-02-23","158"
"AKC1","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","01 HIGH","1718759","2.0","2026-03-05","148"
"AKC1","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","11147","USP","VHI425A-GV W/ GV4G6","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","11409","USP","TAMPA","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","1718759","2.0","2026-03-05","148"
"AKC1","NA","11519","USP","Zebra Kit Maint Door Open Swch RH/LH","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","02 MED","1718759","2.0","2026-03-05","148"
"AKC1","NA","N37843","USP","REWIND CONTROL/POWER ON RELAY FOR 3600A APPLICATORS - PE-RE1017","02 MED","1718759","2.0","2026-03-05","148"
"AUS2","NA","1060925","USP","RING-GRIP QUICK-RELEASE PIN","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","1124729","USP","Pan and Tilt Camera Mount PTU-BE","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3015434","USP","SWIVEL GRIPPER HEAD","01 HIGH","1718720","5.0","2026-03-05","148"
"AUS2","NA","3015435","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1718720","5.0","2026-03-05","148"
"AUS2","NA","3022935","USP","M8 LOCK WASHERS (OR BLACK OXIDE EQUIVALENT)","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022940","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022948","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022949","USP","MCMASTER ZIP TIE MOUNT","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022952","USP","GALVANIZED STEEL , EPDM CUSHIO","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","1718720","25.0","2026-03-05","148"
"AUS2","NA","3022957","USP","WASHER, M5, SST","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022969","USP","VERTICAL CARTRIDGE HEATER","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1718720","6.0","2026-03-05","148"
"AUS2","NA","3022971","USP","FAST CONNECTION-PEG","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022977","USP","GUIDED PNUEMATIC CYLINDER DFM-16-125-B-PPV-A-KF","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1718720","1.0","2026-03-05","148"
"AUS2","NA","3026266","USP","Control Block","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3029778","USP","CABLE, NIP ROLLER MOTOR SERVO","01 HIGH","1718720","1.0","2026-03-05","148"
"AUS2","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1718720","12.0","2026-03-05","148"
"AUS2","NA","3033957","USP","Ring, Centering sleeve ZBH-5-B","01 HIGH","1718720","3.0","2026-03-05","148"
"AUS2","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
