Region,Ship To Company Code,Order Number,Line Number,APN,APN Description,APN Category,Supplier ID,Supplier Name,Supplier Catalog Part Number,Site,Site Description,Site Location,Order Date,Approval Date,Receipt Date,Due Date,Due Date Based On Lead Time,Criticality,Lead Time Final,Unit Price,Currency,Goods Or Services,Order Status,Line Status,Coupa PO Error Detail,Coupa Integration Status,Coupa Transmission Status,Req Created By ,Ship To Address,Status,Supplier Lead Time,Past Due Days,Ordered Qty,Received Qty,Remaining Qty,OH Qty,Max Qty,Min Qty,Outstanding Amount
NA,2D,2D-20671780,1,3022945,"VERTICAL BOT, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306180,SHV1,"AR Sortable FC - Shreveport, LA",NAMERICA,3/13/26 0:00,3/13/26 0:00,,4/10/26 0:00,7/17/26 0:00,01 HIGH,126,1440,USD,Goods,A,A,,,sent_via_email,EAM,SHV1 OFFSITE,issued,126,14,3,0,3,0,4,2,4320
NA,2D,2D-20671780,1,3022945,"VERTICAL BOTTOM, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306180,SHV1,"AR Sortable FC - Shreveport, LA",NAMERICA,3/13/26 0:00,3/13/26 0:00,,4/10/26 0:00,7/17/26 0:00,01 HIGH,126,1440,USD,Goods,A,A,,,sent_via_email,EAM,SHV1 OFFSITE,issued,126,14,3,0,3,0,4,2,4320
NA,2D,2D-21350259,2,3022945,"VERTICAL BOT, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306180,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,5/15/26 0:00,5/15/26 0:00,,7/16/26 0:00,9/18/26 0:00,01 HIGH,126,1440,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,126,0,3,0,3,1,4,2,4320
NA,2D,2D-21350259,2,3022945,"VERTICAL BOTTOM, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306180,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,5/15/26 0:00,5/15/26 0:00,,7/16/26 0:00,9/18/26 0:00,01 HIGH,126,1440,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,126,0,3,0,3,1,4,2,4320
NA,2D,2D-22097209,3,3466153,RIGHT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022382,SYR1,"AR Sortable FC - Clay, NY",NAMERICA,7/23/26 0:00,7/23/26 0:00,,11/6/26 0:00,9/24/26 0:00,01 HIGH,63,4025,USD,Goods,A,A,,,sent_via_email,EAM,"SYR1 Sortable FC AR (Clay, NY)",issued,63,0,1,0,1,0,1,0,4025
NA,2D,2D-22144901,12,3466153,RIGHT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022382,ABQ1,"AR Sortable FC - Albuquerque, NM",NAMERICA,7/29/26 0:00,7/29/26 0:00,,11/5/26 0:00,9/30/26 0:00,01 HIGH,63,4025,USD,Goods,A,A,,,sent_via_email,EAM,"ABQ1 FC (Albuquerque, NM)",issued,63,0,1,0,1,1,2,1,4025
NA,2D,2D-21038583,1,49345,ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH,PRINTER,24216849-758186,ATS CORPORATION,ZEB-P1112750-013,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,4/17/26 0:00,4/17/26 0:00,,4/24/26 0:00,6/1/26 0:00,02 MED,45,1299,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,45,60,3,0,3,2,10,5,3897
NA,2D,2D-21797767,1,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022550,ELP1,"AR Sortable FC - El Paso, TX",NAMERICA,6/25/26 0:00,6/25/26 0:00,,8/31/26 0:00,8/27/26 0:00,01 HIGH,63,3875,USD,Goods,A,A,,,sent_via_email,EAM,ELP1 Offsite Lindenmeyr Munroe,issued,63,0,1,0,1,0,2,1,3875
NA,2D,2D-21927504,2,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022550,SAT3,"AR Sortable FC - San Antonio, TX",NAMERICA,7/8/26 0:00,7/8/26 0:00,,10/23/26 0:00,9/9/26 0:00,01 HIGH,63,3875,USD,Goods,A,A,,,sent_via_email,EAM,SAT3 Offsite Fastenal,issued,63,0,1,0,1,0,1,0,3875
NA,2D,2D-22062643,1,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022550,TLH2,"AR Sortable FC - Tallahassee, FL",NAMERICA,7/21/26 0:00,7/21/26 0:00,,9/28/26 0:00,9/22/26 0:00,01 HIGH,63,3875,USD,Goods,A,A,,,sent_via_email,EAM,"TLH2 Sortable FC (Tallahassee, FL, US)",issued,63,0,1,0,1,0,1,0,3875
